,,,進度,公司名稱盛德好,統編Mandy補,MOU已簽回,"已合作,MOU待補",預計聯繫,,,
,Check,合作夥伴名稱,,,,,,,Podcast節目名稱,Apple Podcast連結,Firstory RSS連結
1,,美股夢想家,ok已簽 回,御軒有限公司,,Ｖ,,,"夢想家說股事","https://podcasts.apple.com/tw/podcast/%E5%A4%A2%E6%83%B3%E5%AE%B6%E8%AA%AA%E8%82%A1%E4%BA%8B/id1585270910","https://feeds.soundon.fm/podcasts/c18fd3e0-c023-466e-843f-ae9c5c157a85.xml"
2,,主播/主持人 朱楚文,,,,,,,"科技領航家","https://podcasts.apple.com/tw/podcast/%E7%A7%91%E6%8A%80%E9%A0%98%E8%88%AA%E5%AE%B6/id1485503209","https://www.ic975.com/feed/creativecaptain/"
3,,Dr Selena,ok 待簽回,,,,Ｖ,,"小資變有錢｜Dr.Selena生活理財王","https://podcasts.apple.com/tw/podcast/%E5%B0%8F%E8%B3%87%E8%AE%8A%E6%9C%89%E9%8C%A2-dr-selena%E7%94%9F%E6%B4%BB%E7%90%86%E8%B2%A1%E7%8E%8B/id1626035937","https://feed.firstory.me/rss/user/cl3hzlg5l01ca01zi899uexxl"
4,,郝旭烈/郝聲音,ok 週六用印,尚學管理顧問有限公司,,Ｖ,,,"郝聲音","https://podcasts.apple.com/tw/podcast/%E9%83%9D%E8%81%B2%E9%9F%B3/id1533782597","https://feed.firstory.me/rss/user/ckfnpunqe136d08003p6lzdmn"
5,,精算媽咪的家計簿｜珊迪兔,ok已簽 回,招財兔創意股份有限公司,,Ｖ,,,"精算媽咪的家計簿","https://podcasts.apple.com/tw/podcast/%E7%B2%BE%E7%AE%97%E5%AA%BD%E5%92%AA%E7%9A%84%E5%AE%B6%E8%A8%88%E7%B0%BF/id1501644109","https://feeds.soundon.fm/podcasts/e7bc67c1-6712-4b26-8a46-27ea7c820469.xml"
6,,聲音表達講師 林依柔,,,,,,,"說話人聲","https://podcasts.apple.com/tw/podcast/%E8%AA%AA%E8%A9%B1%E4%BA%BA%E8%81%B2/id1562262569","https://feed.firstory.me/rss/user/ckmzs7bpkanpb08213eqs4pfw"
7,,張忘形,ok已簽 回,得意管理顧問有限公司,,Ｖ,,,"人類行為研究社","https://podcasts.apple.com/tw/podcast/%E4%BA%BA%E9%A1%9E%E8%A1%8C%E7%82%BA%E7%A0%94%E7%A9%B6%E7%A4%BE/id1792379960","https://feeds.soundon.fm/podcasts/878d80f2-2f90-4176-8e74-2988ee42633e.xml"
8,,李柏鋒的擴大機,,,,,,,"聽進理投","https://podcasts.apple.com/tw/podcast/%E8%81%BD%E9%80%B2%E7%90%86%E6%8A%95/id1648415689","https://www.omnycontent.com/d/playlist/a4cc0a4a-642d-45d7-ac5d-ac5600c620b0/0e26d3df-d582-4b49-8b26-af2400938e98/730b75c2-3f9f-4da7-be56-af240095bbcc/podcast.rss"
9,,崔咪,已告知，人在國外,,,,,,"一不小心太漂亮","https://podcasts.apple.com/tw/podcast/%E4%B8%8D%E5%B0%8F%E5%BF%83%E5%A4%AA%E6%BC%82%E4%BA%AE/id1743546553","https://feeds.soundon.fm/podcasts/459faf63-e51d-48f4-8dc7-39577a6999f1.xml"
10,,哇賽心理學_蔡宇哲,,心覺察,,,,,"哇賽心理學","https://podcasts.apple.com/tw/podcast/%E5%93%87%E8%B3%BD%E5%BF%83%E7%90%86%E5%AD%B8/id1500162537","https://feed.firstory.me/rss/user/ck7t2fz77qu7g0873ln5hz5cl"
11,,Cynthia Huang黃馨儀,ok已簽 回,義華才有限公司,,Ｖ,,,"媽媽好神經病","https://podcasts.apple.com/tw/podcast/%E5%AA%BD%E5%AA%BD%E5%A5%BD%E7%A5%9E%E7%B6%93%E7%97%85/id1552428220","https://feeds.soundon.fm/podcasts/84685a3b-3017-4627-8d95-827636c46163.xml"
12,,蘇絢慧分享空間,ok 待簽回,璞成健康管理顧問有限公司,,Ｖ,,,"蘇心時光","https://podcasts.apple.com/tw/podcast/%E8%98%87%E5%BF%83%E6%99%82%E5%85%89/id1850663669","https://feeds.soundon.fm/podcasts/d05b0163-7868-4a90-b2ad-ad20f6dcada6.xml"
13,,加班當爸媽．櫻桃可可CherryCoco ,,,,,,,"加班當爸媽｜櫻桃可可CherryCoco","https://podcasts.apple.com/tw/podcast/%E5%8A%A0%E7%8F%AD%E7%95%B6%E7%88%B8%E5%AA%BD-%E6%AB%BB%E6%A1%83%E5%8F%AF%E5%8F%AFcherrycoco/id1520423194","https://feed.firstory.me/rss/user/cme89u7jl023e01stency8ot1"
14,,林程揚｜Hank 大叔,ok 待簽回,,,,Ｖ,,"能量黑客","https://podcasts.apple.com/tw/podcast/%E8%83%BD%E9%87%8F%E9%BB%91%E5%AE%A2/id1852155372","https://feeds.soundon.fm/podcasts/309c257d-71c5-4606-9225-0dfb1c0dbe3a.xml"
15,,美股航海王,,,,,,,"航海王的富人學","https://podcasts.apple.com/tw/podcast/%E8%88%AA%E6%B5%B7%E7%8E%8B%E7%9A%84%E5%AF%8C%E4%BA%BA%E5%AD%B8/id1726458489","https://feed.firstory.me/rss/user/clq26zwox006o010y1izebrxu"
16,,宋家小館｜Becky,,,,,,,"宋家小館","https://podcasts.apple.com/tw/podcast/%E5%AE%8B%E5%AE%B6%E5%B0%8F%E9%A4%A8/id1721336862","https://feed.firstory.me/rss/user/clp9tu99l00fr01wv9gaod3us"
17,,莫菲穿搭,,,,,,,"【莫轉台】-試穿新人生","https://podcasts.apple.com/tw/podcast/%E8%8E%AB%E8%BD%89%E5%8F%B0-%E8%A9%A6%E7%A9%BF%E6%96%B0%E4%BA%BA%E7%94%9F/id1865854397","https://feeds.soundon.fm/podcasts/21c16e3b-ce88-4152-9760-d07530241027.xml"
18,,慢活夫妻 Dewi&George,,,,,,,"慢活夫妻－專業美股投資與理財","https://podcasts.apple.com/tw/podcast/%E6%85%A2%E6%B4%BB%E5%A4%AB%E5%A6%BB-%E5%B0%88%E6%A5%AD%E7%BE%8E%E8%82%A1%E6%8A%95%E8%B3%87%E8%88%87%E7%90%86%E8%B2%A1/id1520711973","https://feed.firstory.me/rss/user/ckbth9mxhxoty0918lzyhey2j"
19,,創才,ok已簽 回,,,Ｖ,,,"金融科技人才培育計劃-焦點主題趨勢講座","https://podcasts.apple.com/tw/podcast/%E9%87%91%E8%9E%8D%E7%A7%91%E6%8A%80%E4%BA%BA%E6%89%8D%E5%9F%B9%E8%82%B2%E8%A8%88%E5%8A%83-%E7%84%A6%E9%BB%9E%E4%B8%BB%E9%A1%8C%E8%B6%A8%E5%8B%A2%E8%AC%9B%E5%BA%A7/id1628956645","https://feed.firstory.me/rss/user/cl47s8e2i00nn01zg7tyl1nb3"
